RNA Length 7,,,RNA Length 8,,,RNA Length 9,,,RNA Length 10,,,RNA Length 11,,,RNA Length 12,,,RNA Length 13,,,RNA Length 14,,,RNA Length 15,,,RNA Length 16,,,RNA Length 17,,,RNA Length 18,,,RNA Length 19,,,RNA Length 20,,,RNA Length 21,,,RNA Length 22,,,RNA Length 23,,,RNA Length 24,,,RNA Length 25,,,RNA Length 26,,,RNA Length 27,,,RNA Length 28,,,RNA Length 29,,,RNA Length 30,,,RNA Length 31,,,RNA Length 32,,,RNA Length 33,,,RNA Length 34,,,RNA Length 35,,,RNA Length 36,,,RNA Length 37,,,RNA Length 38,,,RNA Length 39,,,RNA Length 40,,,RNA Length 41,,,RNA Length 42,,,RNA Length 43,,,RNA Length 44,,,RNA Length 45,,,RNA Length 46,,,RNA Length 47,,,RNA Length 48,,,RNA Length 49,,,RNA Length 50,,,RNA Length 51,,,RNA Length 52,,,RNA Length 53,,,RNA Length 54,,,RNA Length 55,,,RNA Length 56,,,RNA Length 57,,,RNA Length 58,,,RNA Length 59,,,RNA Length 60,,,RNA Length 61,,,RNA Length 62,,,RNA Length 63,,,RNA Length 64,,,RNA Length 65,,,RNA Length 66,,,RNA Length 67,,
low_complexity,4560,,low_complexity,3153,,low_complexity,2985,,low_complexity,2314,,low_complexity,1173,,low_complexity,1252,,low_complexity,710,,low_complexity,388,,low_complexity,236,,low_complexity,132,,low_complexity,487,,low_complexity,407,,low_complexity,266,,low_complexity,216,,low_complexity,344,,low_complexity,244,,low_complexity,145,,low_complexity,162,,low_complexity,128,,low_complexity,206,,low_complexity,285,,low_complexity,90,,low_complexity,48,,low_complexity,34,,low_complexity,19,,low_complexity,17,,low_complexity,13,,low_complexity,27,,low_complexity,12,,low_complexity,10,,low_complexity,16,,low_complexity,13,,low_complexity,12,,low_complexity,11,,low_complexity,7,,low_complexity,12,,low_complexity,6,,low_complexity,5,,low_complexity,7,,low_complexity,11,,low_complexity,3,,low_complexity,7,,low_complexity,6,,low_complexity,3,,low_complexity,3,,low_complexity,4,,low_complexity,1,,low_complexity,4,,low_complexity,5,,low_complexity,0,,low_complexity,1,,low_complexity,2,,low_complexity,3,,low_complexity,1,,low_complexity,1,,low_complexity,0,,low_complexity,4,,low_complexity,4,,low_complexity,0,,low_complexity,0,,low_complexity,0,
miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,,miRNA,0,
   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,,   miRNA:x,0,
   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,,   miRNA:other,0,
rRNA,145.584116795598,,rRNA,721.597034791016,,rRNA,1383.05389394224,,rRNA,940.322616365944,,rRNA,1825.92675905943,,rRNA,1805.43775220173,,rRNA,2438.17692938408,,rRNA,3851.55086365789,,rRNA,5672.49250296992,,rRNA,5727.65323074312,,rRNA,7928.92626716657,,rRNA,15381.3151011585,,rRNA,14600.0404899717,,rRNA,9835.85113615236,,rRNA,11725.4844811303,,rRNA,7468.16095417566,,rRNA,10534.2737514075,,rRNA,17647.1327539864,,rRNA,5644.05172457999,,rRNA,5091.79061346882,,rRNA,6364.0353928299,,rRNA,5804.17124332567,,rRNA,8153.47335185783,,rRNA,4577.82928442164,,rRNA,11295.6229759179,,rRNA,8180.10723836442,,rRNA,19744.5612691147,,rRNA,7459.43084084894,,rRNA,7787.49014383784,,rRNA,35581.6545857393,,rRNA,4512.00814536338,,rRNA,4243.76736694677,,rRNA,3482.37852965749,,rRNA,3337.7329573935,,rRNA,5926.0887218045,,rRNA,4413.10601503758,,rRNA,5000.13157894735,,rRNA,4802.93020050125,,rRNA,5189.54937343358,,rRNA,1851.62155388472,,rRNA,1626.32142857143,,rRNA,1038.36616541353,,rRNA,1730.31766917293,,rRNA,3731.15689223059,,rRNA,1528.90676691729,,rRNA,1561.59218880535,,rRNA,1245.20175438597,,rRNA,919.890977443604,,rRNA,1336.47117794486,,rRNA,1049.73157894737,,rRNA,1337.61228070175,,rRNA,821.773684210523,,rRNA,508.338596491229,,rRNA,691.612280701754,,rRNA,956.907894736838,,rRNA,625.191228070175,,rRNA,327.891228070175,,rRNA,545.059649122806,,rRNA,604.610526315789,,rRNA,0,,rRNA,0,
   genomic_rRNA,145.584116795598,,   genomic_rRNA,721.597034791016,,   genomic_rRNA,1383.05389394224,,   genomic_rRNA,940.322616365944,,   genomic_rRNA,1825.92675905943,,   genomic_rRNA,1805.43775220173,,   genomic_rRNA,2438.17692938408,,   genomic_rRNA,3851.55086365789,,   genomic_rRNA,5672.49250296992,,   genomic_rRNA,5727.65323074312,,   genomic_rRNA,7928.92626716657,,   genomic_rRNA,15381.3151011585,,   genomic_rRNA,14600.0404899717,,   genomic_rRNA,9835.85113615236,,   genomic_rRNA,11725.4844811303,,   genomic_rRNA,7468.16095417566,,   genomic_rRNA,10534.2737514075,,   genomic_rRNA,17647.1327539864,,   genomic_rRNA,5644.05172457999,,   genomic_rRNA,5091.79061346882,,   genomic_rRNA,6364.0353928299,,   genomic_rRNA,5804.17124332567,,   genomic_rRNA,8153.47335185783,,   genomic_rRNA,4577.82928442164,,   genomic_rRNA,11295.6229759179,,   genomic_rRNA,8180.10723836442,,   genomic_rRNA,19744.5612691147,,   genomic_rRNA,7459.43084084894,,   genomic_rRNA,7787.49014383784,,   genomic_rRNA,35581.6545857393,,   genomic_rRNA,4512.00814536338,,   genomic_rRNA,4243.76736694677,,   genomic_rRNA,3482.37852965749,,   genomic_rRNA,3337.7329573935,,   genomic_rRNA,5926.0887218045,,   genomic_rRNA,4413.10601503758,,   genomic_rRNA,5000.13157894735,,   genomic_rRNA,4802.93020050125,,   genomic_rRNA,5189.54937343358,,   genomic_rRNA,1851.62155388472,,   genomic_rRNA,1626.32142857143,,   genomic_rRNA,1038.36616541353,,   genomic_rRNA,1730.31766917293,,   genomic_rRNA,3731.15689223059,,   genomic_rRNA,1528.90676691729,,   genomic_rRNA,1561.59218880535,,   genomic_rRNA,1245.20175438597,,   genomic_rRNA,919.890977443604,,   genomic_rRNA,1336.47117794486,,   genomic_rRNA,1049.73157894737,,   genomic_rRNA,1337.61228070175,,   genomic_rRNA,821.773684210523,,   genomic_rRNA,508.338596491229,,   genomic_rRNA,691.612280701754,,   genomic_rRNA,956.907894736838,,   genomic_rRNA,625.191228070175,,   genomic_rRNA,327.891228070175,,   genomic_rRNA,545.059649122806,,   genomic_rRNA,604.610526315789,,   genomic_rRNA,0,,   genomic_rRNA,0,
   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,,   Mt_rRNA,0,
tRNA,358.079699328026,,tRNA,374.939258817162,,tRNA,793.106746743355,,tRNA,873.263135093509,,tRNA,872.829638823751,,tRNA,1114.82805288988,,tRNA,1272.89376040406,,tRNA,1435.71973448783,,tRNA,3004.38088060162,,tRNA,2208.96183432213,,tRNA,2278.40681802034,,tRNA,2863.39406945995,,tRNA,1883.7175497705,,tRNA,2057.74640022289,,tRNA,4140.1654099169,,tRNA,10558.4281546886,,tRNA,1225.11732379821,,tRNA,945.685469650173,,tRNA,866.107182458063,,tRNA,963.169211344209,,tRNA,1311.59663130987,,tRNA,1627.31391053391,,tRNA,1639.17176877588,,tRNA,1880.02641939759,,tRNA,942.848490550835,,tRNA,1222.66119696207,,tRNA,3695.95041429158,,tRNA,3980.38439987027,,tRNA,1912.42354412472,,tRNA,1018.42311688312,,tRNA,2930.57801994303,,tRNA,486.23614577144,,tRNA,1091.83149443149,,tRNA,1380.17666864725,,tRNA,827.125454545451,,tRNA,705.122727272727,,tRNA,419.545454545453,,tRNA,630.999999999999,,tRNA,1411.42045454546,,tRNA,4175.77777777776,,tRNA,571.545454545455,,tRNA,555.692307692307,,tRNA,523.545454545454,,tRNA,565.576923076923,,tRNA,439.384615384616,,tRNA,168.122377622378,,tRNA,292.590909090909,,tRNA,5430.77272727273,,tRNA,2637.09090909091,,tRNA,74.5454545454546,,tRNA,253.409090909091,,tRNA,401,,tRNA,42.0000000000001,,tRNA,46,,tRNA,27.5,,tRNA,1.5,,tRNA,8,,tRNA,3,,tRNA,3,,tRNA,0,,tRNA,0,
   genomic_tRNA,358.079699328026,,   genomic_tRNA,374.939258817162,,   genomic_tRNA,793.106746743355,,   genomic_tRNA,873.263135093509,,   genomic_tRNA,872.829638823751,,   genomic_tRNA,1114.82805288988,,   genomic_tRNA,1272.89376040406,,   genomic_tRNA,1435.71973448783,,   genomic_tRNA,3004.38088060162,,   genomic_tRNA,2208.96183432213,,   genomic_tRNA,2278.40681802034,,   genomic_tRNA,2863.39406945995,,   genomic_tRNA,1883.7175497705,,   genomic_tRNA,2057.74640022289,,   genomic_tRNA,4140.1654099169,,   genomic_tRNA,10558.4281546886,,   genomic_tRNA,1225.11732379821,,   genomic_tRNA,945.685469650173,,   genomic_tRNA,866.107182458063,,   genomic_tRNA,963.169211344209,,   genomic_tRNA,1311.59663130987,,   genomic_tRNA,1627.31391053391,,   genomic_tRNA,1639.17176877588,,   genomic_tRNA,1880.02641939759,,   genomic_tRNA,942.848490550835,,   genomic_tRNA,1222.66119696207,,   genomic_tRNA,3695.95041429158,,   genomic_tRNA,3980.38439987027,,   genomic_tRNA,1912.42354412472,,   genomic_tRNA,1018.42311688312,,   genomic_tRNA,2930.57801994303,,   genomic_tRNA,486.23614577144,,   genomic_tRNA,1091.83149443149,,   genomic_tRNA,1380.17666864725,,   genomic_tRNA,827.125454545451,,   genomic_tRNA,705.122727272727,,   genomic_tRNA,419.545454545453,,   genomic_tRNA,630.999999999999,,   genomic_tRNA,1411.42045454546,,   genomic_tRNA,4175.77777777776,,   genomic_tRNA,571.545454545455,,   genomic_tRNA,555.692307692307,,   genomic_tRNA,523.545454545454,,   genomic_tRNA,565.576923076923,,   genomic_tRNA,439.384615384616,,   genomic_tRNA,168.122377622378,,   genomic_tRNA,292.590909090909,,   genomic_tRNA,5430.77272727273,,   genomic_tRNA,2637.09090909091,,   genomic_tRNA,74.5454545454546,,   genomic_tRNA,253.409090909091,,   genomic_tRNA,401,,   genomic_tRNA,42.0000000000001,,   genomic_tRNA,46,,   genomic_tRNA,27.5,,   genomic_tRNA,1.5,,   genomic_tRNA,8,,   genomic_tRNA,3,,   genomic_tRNA,3,,   genomic_tRNA,0,,   genomic_tRNA,0,
